Expert,SRS,Layer,Criterion,Score
H2,SRS #2,Model,Entity Extraction,3
H2,SRS #2,Model,Attribute Accuracy,2
H2,SRS #2,Model,Relationship Logic,3
H2,SRS #2,Model,Naming Consistency,3
H2,SRS #2,View,Screen Coverage,4
H2,SRS #2,View,User Journey Alignment,4
H2,SRS #2,View,Abstraction Level,4
H2,SRS #2,View,Hallucination Control,3
H2,SRS #2,Controller,Action Definition,2
H2,SRS #2,Controller,M-V-C Linkage,3
H2,SRS #2,Controller,Separation of Concerns,3
H2,SRS #2,Controller,Functional Completeness,2
H3,SRS #2,Model,Entity Extraction,3
H3,SRS #2,Model,Attribute Accuracy,3
H3,SRS #2,Model,Relationship Logic,2
H3,SRS #2,Model,Naming Consistency,2
H3,SRS #2,View,Screen Coverage,4
H3,SRS #2,View,User Journey Alignment,3
H3,SRS #2,View,Abstraction Level,4
H3,SRS #2,View,Hallucination Control,4
H3,SRS #2,Controller,Action Definition,3
H3,SRS #2,Controller,M-V-C Linkage,3
H3,SRS #2,Controller,Separation of Concerns,2
H3,SRS #2,Controller,Functional Completeness,3
H4,SRS #2,Model,Entity Extraction,2
H4,SRS #2,Model,Attribute Accuracy,3
H4,SRS #2,Model,Relationship Logic,3
H4,SRS #2,Model,Naming Consistency,3
H4,SRS #2,View,Screen Coverage,3
H4,SRS #2,View,User Journey Alignment,4
H4,SRS #2,View,Abstraction Level,4
H4,SRS #2,View,Hallucination Control,4
H4,SRS #2,Controller,Action Definition,3
H4,SRS #2,Controller,M-V-C Linkage,3
H4,SRS #2,Controller,Separation of Concerns,3
H4,SRS #2,Controller,Functional Completeness,2
H5,SRS #2,Model,Entity Extraction,3
H5,SRS #2,Model,Attribute Accuracy,3
H5,SRS #2,Model,Relationship Logic,3
H5,SRS #2,Model,Naming Consistency,2
H5,SRS #2,View,Screen Coverage,4
H5,SRS #2,View,User Journey Alignment,4
H5,SRS #2,View,Abstraction Level,3
H5,SRS #2,View,Hallucination Control,4
H5,SRS #2,Controller,Action Definition,3
H5,SRS #2,Controller,M-V-C Linkage,2
H5,SRS #2,Controller,Separation of Concerns,3
H5,SRS #2,Controller,Functional Completeness,3
H1,SRS #3,Model,Entity Extraction,3
H1,SRS #3,Model,Attribute Accuracy,3
H1,SRS #3,Model,Relationship Logic,2
H1,SRS #3,Model,Naming Consistency,3
H1,SRS #3,View,Screen Coverage,5
H1,SRS #3,View,User Journey Alignment,5
H1,SRS #3,View,Abstraction Level,4
H1,SRS #3,View,Hallucination Control,5
H1,SRS #3,Controller,Action Definition,4
H1,SRS #3,Controller,M-V-C Linkage,4
H1,SRS #3,Controller,Separation of Concerns,4
H1,SRS #3,Controller,Functional Completeness,4
H2,SRS #3,Model,Entity Extraction,3
H2,SRS #3,Model,Attribute Accuracy,2
H2,SRS #3,Model,Relationship Logic,3
H2,SRS #3,Model,Naming Consistency,2
H2,SRS #3,View,Screen Coverage,5
H2,SRS #3,View,User Journey Alignment,5
H2,SRS #3,View,Abstraction Level,5
H2,SRS #3,View,Hallucination Control,4
H2,SRS #3,Controller,Action Definition,4
H2,SRS #3,Controller,M-V-C Linkage,4
H2,SRS #3,Controller,Separation of Concerns,4
H2,SRS #3,Controller,Functional Completeness,4
H3,SRS #3,Model,Entity Extraction,3
H3,SRS #3,Model,Attribute Accuracy,3
H3,SRS #3,Model,Relationship Logic,2
H3,SRS #3,Model,Naming Consistency,3
H3,SRS #3,View,Screen Coverage,5
H3,SRS #3,View,User Journey Alignment,4
H3,SRS #3,View,Abstraction Level,5
H3,SRS #3,View,Hallucination Control,5
H3,SRS #3,Controller,Action Definition,4
H3,SRS #3,Controller,M-V-C Linkage,4
H3,SRS #3,Controller,Separation of Concerns,4
H3,SRS #3,Controller,Functional Completeness,4
H4,SRS #3,Model,Entity Extraction,2
H4,SRS #3,Model,Attribute Accuracy,3
H4,SRS #3,Model,Relationship Logic,3
H4,SRS #3,Model,Naming Consistency,2
H4,SRS #3,View,Screen Coverage,4
H4,SRS #3,View,User Journey Alignment,5
H4,SRS #3,View,Abstraction Level,5
H4,SRS #3,View,Hallucination Control,5
H4,SRS #3,Controller,Action Definition,4
H4,SRS #3,Controller,M-V-C Linkage,4
H4,SRS #3,Controller,Separation of Concerns,4
H4,SRS #3,Controller,Functional Completeness,4
H5,SRS #3,Model,Entity Extraction,3
H5,SRS #3,Model,Attribute Accuracy,3
H5,SRS #3,Model,Relationship Logic,2
H5,SRS #3,Model,Naming Consistency,2
H5,SRS #3,View,Screen Coverage,5
H5,SRS #3,View,User Journey Alignment,5
H5,SRS #3,View,Abstraction Level,4
H5,SRS #3,View,Hallucination Control,5
H5,SRS #3,Controller,Action Definition,4
H5,SRS #3,Controller,M-V-C Linkage,4
H5,SRS #3,Controller,Separation of Concerns,4
H5,SRS #3,Controller,Functional Completeness,4
H1,SRS #4,Model,Entity Extraction,3
H1,SRS #4,Model,Attribute Accuracy,3
H1,SRS #4,Model,Relationship Logic,2
H1,SRS #4,Model,Naming Consistency,3
H1,SRS #4,View,Screen Coverage,4
H1,SRS #4,View,User Journey Alignment,4
H1,SRS #4,View,Abstraction Level,4
H1,SRS #4,View,Hallucination Control,4
H1,SRS #4,Controller,Action Definition,3
H1,SRS #4,Controller,M-V-C Linkage,3
H1,SRS #4,Controller,Separation of Concerns,3
H1,SRS #4,Controller,Functional Completeness,3
H2,SRS #4,Model,Entity Extraction,3
H2,SRS #4,Model,Attribute Accuracy,2
H2,SRS #4,Model,Relationship Logic,3
H2,SRS #4,Model,Naming Consistency,3
H2,SRS #4,View,Screen Coverage,4
H2,SRS #4,View,User Journey Alignment,4
H2,SRS #4,View,Abstraction Level,4
H2,SRS #4,View,Hallucination Control,3
H2,SRS #4,Controller,Action Definition,3
H2,SRS #4,Controller,M-V-C Linkage,3
H2,SRS #4,Controller,Separation of Concerns,3
H2,SRS #4,Controller,Functional Completeness,3
H3,SRS #4,Model,Entity Extraction,3
H3,SRS #4,Model,Attribute Accuracy,3
H3,SRS #4,Model,Relationship Logic,2
H3,SRS #4,Model,Naming Consistency,2
H3,SRS #4,View,Screen Coverage,4
H3,SRS #4,View,User Journey Alignment,3
H3,SRS #4,View,Abstraction Level,4
H3,SRS #4,View,Hallucination Control,4
H3,SRS #4,Controller,Action Definition,3
H3,SRS #4,Controller,M-V-C Linkage,3
H3,SRS #4,Controller,Separation of Concerns,3
H3,SRS #4,Controller,Functional Completeness,4
H4,SRS #4,Model,Entity Extraction,2
H4,SRS #4,Model,Attribute Accuracy,3
H4,SRS #4,Model,Relationship Logic,3
H4,SRS #4,Model,Naming Consistency,3
H4,SRS #4,View,Screen Coverage,3
H4,SRS #4,View,User Journey Alignment,4
H4,SRS #4,View,Abstraction Level,4
H4,SRS #4,View,Hallucination Control,4
H4,SRS #4,Controller,Action Definition,3
H4,SRS #4,Controller,M-V-C Linkage,3
H4,SRS #4,Controller,Separation of Concerns,3
H4,SRS #4,Controller,Functional Completeness,3
H5,SRS #4,Model,Entity Extraction,3
H5,SRS #4,Model,Attribute Accuracy,3
H5,SRS #4,Model,Relationship Logic,3
H5,SRS #4,Model,Naming Consistency,2
H5,SRS #4,View,Screen Coverage,4
H5,SRS #4,View,User Journey Alignment,4
H5,SRS #4,View,Abstraction Level,3
H5,SRS #4,View,Hallucination Control,4
H5,SRS #4,Controller,Action Definition,3
H5,SRS #4,Controller,M-V-C Linkage,3
H5,SRS #4,Controller,Separation of Concerns,3
H5,SRS #4,Controller,Functional Completeness,3
H1,SRS #5,Model,Entity Extraction,3
H1,SRS #5,Model,Attribute Accuracy,2
H1,SRS #5,Model,Relationship Logic,2
H1,SRS #5,Model,Naming Consistency,3
H1,SRS #5,View,Screen Coverage,5
H1,SRS #5,View,User Journey Alignment,4
H1,SRS #5,View,Abstraction Level,4
H1,SRS #5,View,Hallucination Control,5
H1,SRS #5,Controller,Action Definition,4
H1,SRS #5,Controller,M-V-C Linkage,4
H1,SRS #5,Controller,Separation of Concerns,3
H1,SRS #5,Controller,Functional Completeness,4
H2,SRS #5,Model,Entity Extraction,2
H2,SRS #5,Model,Attribute Accuracy,3
H2,SRS #5,Model,Relationship Logic,3
H2,SRS #5,Model,Naming Consistency,2
H2,SRS #5,View,Screen Coverage,4
H2,SRS #5,View,User Journey Alignment,5
H2,SRS #5,View,Abstraction Level,5
H2,SRS #5,View,Hallucination Control,4
H2,SRS #5,Controller,Action Definition,4
H2,SRS #5,Controller,M-V-C Linkage,4
H2,SRS #5,Controller,Separation of Concerns,4
H2,SRS #5,Controller,Functional Completeness,3
H3,SRS #5,Model,Entity Extraction,3
H3,SRS #5,Model,Attribute Accuracy,2
H3,SRS #5,Model,Relationship Logic,2
H3,SRS #5,Model,Naming Consistency,3
H3,SRS #5,View,Screen Coverage,5
H3,SRS #5,View,User Journey Alignment,4
H3,SRS #5,View,Abstraction Level,5
H3,SRS #5,View,Hallucination Control,5
H3,SRS #5,Controller,Action Definition,4
H3,SRS #5,Controller,M-V-C Linkage,4
H3,SRS #5,Controller,Separation of Concerns,3
H3,SRS #5,Controller,Functional Completeness,4
H4,SRS #5,Model,Entity Extraction,2
H4,SRS #5,Model,Attribute Accuracy,3
H4,SRS #5,Model,Relationship Logic,3
H4,SRS #5,Model,Naming Consistency,2
H4,SRS #5,View,Screen Coverage,4
H4,SRS #5,View,User Journey Alignment,5
H4,SRS #5,View,Abstraction Level,5
H4,SRS #5,View,Hallucination Control,5
H4,SRS #5,Controller,Action Definition,4
H4,SRS #5,Controller,M-V-C Linkage,3
H4,SRS #5,Controller,Separation of Concerns,4
H4,SRS #5,Controller,Functional Completeness,4
H5,SRS #5,Model,Entity Extraction,3
H5,SRS #5,Model,Attribute Accuracy,2
H5,SRS #5,Model,Relationship Logic,2
H5,SRS #5,Model,Naming Consistency,2
H5,SRS #5,View,Screen Coverage,4
H5,SRS #5,View,User Journey Alignment,4
H5,SRS #5,View,Abstraction Level,4
H5,SRS #5,View,Hallucination Control,5
H5,SRS #5,Controller,Action Definition,4
H5,SRS #5,Controller,M-V-C Linkage,4
H5,SRS #5,Controller,Separation of Concerns,4
H5,SRS #5,Controller,Functional Completeness,4
H1,SRS #6,Model,Entity Extraction,3
H1,SRS #6,Model,Attribute Accuracy,2
H1,SRS #6,Model,Relationship Logic,2
H1,SRS #6,Model,Naming Consistency,3
H1,SRS #6,View,Screen Coverage,5
H1,SRS #6,View,User Journey Alignment,4
H1,SRS #6,View,Abstraction Level,4
H1,SRS #6,View,Hallucination Control,5
H1,SRS #6,Controller,Action Definition,4
H1,SRS #6,Controller,M-V-C Linkage,4
H1,SRS #6,Controller,Separation of Concerns,4
H1,SRS #6,Controller,Functional Completeness,4
H2,SRS #6,Model,Entity Extraction,2
H2,SRS #6,Model,Attribute Accuracy,3
H2,SRS #6,Model,Relationship Logic,3
H2,SRS #6,Model,Naming Consistency,2
H2,SRS #6,View,Screen Coverage,4
H2,SRS #6,View,User Journey Alignment,5
H2,SRS #6,View,Abstraction Level,5
H2,SRS #6,View,Hallucination Control,4
H2,SRS #6,Controller,Action Definition,4
H2,SRS #6,Controller,M-V-C Linkage,4
H2,SRS #6,Controller,Separation of Concerns,4
H2,SRS #6,Controller,Functional Completeness,4
H3,SRS #6,Model,Entity Extraction,3
H3,SRS #6,Model,Attribute Accuracy,2
H3,SRS #6,Model,Relationship Logic,2
H3,SRS #6,Model,Naming Consistency,3
H3,SRS #6,View,Screen Coverage,5
H3,SRS #6,View,User Journey Alignment,4
H3,SRS #6,View,Abstraction Level,5
H3,SRS #6,View,Hallucination Control,5
H3,SRS #6,Controller,Action Definition,4
H3,SRS #6,Controller,M-V-C Linkage,4
H3,SRS #6,Controller,Separation of Concerns,4
H3,SRS #6,Controller,Functional Completeness,4
H4,SRS #6,Model,Entity Extraction,2
H4,SRS #6,Model,Attribute Accuracy,3
H4,SRS #6,Model,Relationship Logic,3
H4,SRS #6,Model,Naming Consistency,2
H4,SRS #6,View,Screen Coverage,4
H4,SRS #6,View,User Journey Alignment,5
H4,SRS #6,View,Abstraction Level,5
H4,SRS #6,View,Hallucination Control,5
H4,SRS #6,Controller,Action Definition,4
H4,SRS #6,Controller,M-V-C Linkage,4
H4,SRS #6,Controller,Separation of Concerns,4
H4,SRS #6,Controller,Functional Completeness,4
H5,SRS #6,Model,Entity Extraction,3
H5,SRS #6,Model,Attribute Accuracy,2
H5,SRS #6,Model,Relationship Logic,2
H5,SRS #6,Model,Naming Consistency,2
H5,SRS #6,View,Screen Coverage,4
H5,SRS #6,View,User Journey Alignment,4
H5,SRS #6,View,Abstraction Level,4
H5,SRS #6,View,Hallucination Control,5
H5,SRS #6,Controller,Action Definition,4
H5,SRS #6,Controller,M-V-C Linkage,4
H5,SRS #6,Controller,Separation of Concerns,4
H5,SRS #6,Controller,Functional Completeness,4
H1,SRS #7,Model,Entity Extraction,3
H1,SRS #7,Model,Attribute Accuracy,2
H1,SRS #7,Model,Relationship Logic,2
H1,SRS #7,Model,Naming Consistency,3
H1,SRS #7,View,Screen Coverage,4
H1,SRS #7,View,User Journey Alignment,4
H1,SRS #7,View,Abstraction Level,4
H1,SRS #7,View,Hallucination Control,5
H1,SRS #7,Controller,Action Definition,4
H1,SRS #7,Controller,M-V-C Linkage,3
H1,SRS #7,Controller,Separation of Concerns,3
H1,SRS #7,Controller,Functional Completeness,4
H2,SRS #7,Model,Entity Extraction,2
H2,SRS #7,Model,Attribute Accuracy,3
H2,SRS #7,Model,Relationship Logic,3
H2,SRS #7,Model,Naming Consistency,2
H2,SRS #7,View,Screen Coverage,4
H2,SRS #7,View,User Journey Alignment,4
H2,SRS #7,View,Abstraction Level,4
H2,SRS #7,View,Hallucination Control,4
H2,SRS #7,Controller,Action Definition,3
H2,SRS #7,Controller,M-V-C Linkage,4
H2,SRS #7,Controller,Separation of Concerns,4
H2,SRS #7,Controller,Functional Completeness,3
H3,SRS #7,Model,Entity Extraction,3
H3,SRS #7,Model,Attribute Accuracy,2
H3,SRS #7,Model,Relationship Logic,2
H3,SRS #7,Model,Naming Consistency,3
H3,SRS #7,View,Screen Coverage,4
H3,SRS #7,View,User Journey Alignment,4
H3,SRS #7,View,Abstraction Level,4
H3,SRS #7,View,Hallucination Control,5
H3,SRS #7,Controller,Action Definition,4
H3,SRS #7,Controller,M-V-C Linkage,3
H3,SRS #7,Controller,Separation of Concerns,3
H3,SRS #7,Controller,Functional Completeness,4
H4,SRS #7,Model,Entity Extraction,2
H4,SRS #7,Model,Attribute Accuracy,3
H4,SRS #7,Model,Relationship Logic,3
H4,SRS #7,Model,Naming Consistency,2
H4,SRS #7,View,Screen Coverage,4
H4,SRS #7,View,User Journey Alignment,4
H4,SRS #7,View,Abstraction Level,4
H4,SRS #7,View,Hallucination Control,4
H4,SRS #7,Controller,Action Definition,3
H4,SRS #7,Controller,M-V-C Linkage,4
H4,SRS #7,Controller,Separation of Concerns,4
H4,SRS #7,Controller,Functional Completeness,3
H5,SRS #7,Model,Entity Extraction,3
H5,SRS #7,Model,Attribute Accuracy,2
H5,SRS #7,Model,Relationship Logic,2
H5,SRS #7,Model,Naming Consistency,2
H5,SRS #7,View,Screen Coverage,4
H5,SRS #7,View,User Journey Alignment,4
H5,SRS #7,View,Abstraction Level,4
H5,SRS #7,View,Hallucination Control,4
H5,SRS #7,Controller,Action Definition,4
H5,SRS #7,Controller,M-V-C Linkage,3
H5,SRS #7,Controller,Separation of Concerns,3
H5,SRS #7,Controller,Functional Completeness,4
H1,SRS #8,Model,Entity Extraction,2
H1,SRS #8,Model,Attribute Accuracy,2
H1,SRS #8,Model,Relationship Logic,2
H1,SRS #8,Model,Naming Consistency,3
H1,SRS #8,View,Screen Coverage,4
H1,SRS #8,View,User Journey Alignment,4
H1,SRS #8,View,Abstraction Level,4
H1,SRS #8,View,Hallucination Control,5
H1,SRS #8,Controller,Action Definition,4
H1,SRS #8,Controller,M-V-C Linkage,4
H1,SRS #8,Controller,Separation of Concerns,4
H1,SRS #8,Controller,Functional Completeness,4
H2,SRS #8,Model,Entity Extraction,2
H2,SRS #8,Model,Attribute Accuracy,2
H2,SRS #8,Model,Relationship Logic,3
H2,SRS #8,Model,Naming Consistency,2
H2,SRS #8,View,Screen Coverage,4
H2,SRS #8,View,User Journey Alignment,5
H2,SRS #8,View,Abstraction Level,4
H2,SRS #8,View,Hallucination Control,4
H2,SRS #8,Controller,Action Definition,4
H2,SRS #8,Controller,M-V-C Linkage,4
H2,SRS #8,Controller,Separation of Concerns,4
H2,SRS #8,Controller,Functional Completeness,4
H3,SRS #8,Model,Entity Extraction,2
H3,SRS #8,Model,Attribute Accuracy,2
H3,SRS #8,Model,Relationship Logic,2
H3,SRS #8,Model,Naming Consistency,2
H3,SRS #8,View,Screen Coverage,4
H3,SRS #8,View,User Journey Alignment,4
H3,SRS #8,View,Abstraction Level,5
H3,SRS #8,View,Hallucination Control,5
H3,SRS #8,Controller,Action Definition,4
H3,SRS #8,Controller,M-V-C Linkage,4
H3,SRS #8,Controller,Separation of Concerns,4
H3,SRS #8,Controller,Functional Completeness,4
H4,SRS #8,Model,Entity Extraction,2
H4,SRS #8,Model,Attribute Accuracy,2
H4,SRS #8,Model,Relationship Logic,2
H4,SRS #8,Model,Naming Consistency,2
H4,SRS #8,View,Screen Coverage,4
H4,SRS #8,View,User Journey Alignment,5
H4,SRS #8,View,Abstraction Level,4
H4,SRS #8,View,Hallucination Control,4
H4,SRS #8,Controller,Action Definition,4
H4,SRS #8,Controller,M-V-C Linkage,4
H4,SRS #8,Controller,Separation of Concerns,4
H4,SRS #8,Controller,Functional Completeness,4
H5,SRS #8,Model,Entity Extraction,2
H5,SRS #8,Model,Attribute Accuracy,2
H5,SRS #8,Model,Relationship Logic,2
H5,SRS #8,Model,Naming Consistency,2
H5,SRS #8,View,Screen Coverage,4
H5,SRS #8,View,User Journey Alignment,4
H5,SRS #8,View,Abstraction Level,4
H5,SRS #8,View,Hallucination Control,5
H5,SRS #8,Controller,Action Definition,4
H5,SRS #8,Controller,M-V-C Linkage,4
H5,SRS #8,Controller,Separation of Concerns,4
H5,SRS #8,Controller,Functional Completeness,4
H1,SRS #9,Model,Entity Extraction,3
H1,SRS #9,Model,Attribute Accuracy,2
H1,SRS #9,Model,Relationship Logic,2
H1,SRS #9,Model,Naming Consistency,3
H1,SRS #9,View,Screen Coverage,4
H1,SRS #9,View,User Journey Alignment,4
H1,SRS #9,View,Abstraction Level,4
H1,SRS #9,View,Hallucination Control,5
H1,SRS #9,Controller,Action Definition,4
H1,SRS #9,Controller,M-V-C Linkage,4
H1,SRS #9,Controller,Separation of Concerns,4
H1,SRS #9,Controller,Functional Completeness,5
H2,SRS #9,Model,Entity Extraction,2
H2,SRS #9,Model,Attribute Accuracy,3
H2,SRS #9,Model,Relationship Logic,3
H2,SRS #9,Model,Naming Consistency,2
H2,SRS #9,View,Screen Coverage,4
H2,SRS #9,View,User Journey Alignment,5
H2,SRS #9,View,Abstraction Level,4
H2,SRS #9,View,Hallucination Control,4
H2,SRS #9,Controller,Action Definition,4
H2,SRS #9,Controller,M-V-C Linkage,4
H2,SRS #9,Controller,Separation of Concerns,4
H2,SRS #9,Controller,Functional Completeness,4
H3,SRS #9,Model,Entity Extraction,3
H3,SRS #9,Model,Attribute Accuracy,2
H3,SRS #9,Model,Relationship Logic,2
H3,SRS #9,Model,Naming Consistency,3
H3,SRS #9,View,Screen Coverage,4
H3,SRS #9,View,User Journey Alignment,4
H3,SRS #9,View,Abstraction Level,5
H3,SRS #9,View,Hallucination Control,5
H3,SRS #9,Controller,Action Definition,4
H3,SRS #9,Controller,M-V-C Linkage,4
H3,SRS #9,Controller,Separation of Concerns,4
H3,SRS #9,Controller,Functional Completeness,5
H4,SRS #9,Model,Entity Extraction,2
H4,SRS #9,Model,Attribute Accuracy,3
H4,SRS #9,Model,Relationship Logic,3
H4,SRS #9,Model,Naming Consistency,2
H4,SRS #9,View,Screen Coverage,4
H4,SRS #9,View,User Journey Alignment,5
H4,SRS #9,View,Abstraction Level,4
H4,SRS #9,View,Hallucination Control,4
H4,SRS #9,Controller,Action Definition,4
H4,SRS #9,Controller,M-V-C Linkage,4
H4,SRS #9,Controller,Separation of Concerns,4
H4,SRS #9,Controller,Functional Completeness,4
H5,SRS #9,Model,Entity Extraction,3
H5,SRS #9,Model,Attribute Accuracy,2
H5,SRS #9,Model,Relationship Logic,2
H5,SRS #9,Model,Naming Consistency,2
H5,SRS #9,View,Screen Coverage,4
H5,SRS #9,View,User Journey Alignment,4
H5,SRS #9,View,Abstraction Level,4
H5,SRS #9,View,Hallucination Control,5
H5,SRS #9,Controller,Action Definition,4
H5,SRS #9,Controller,M-V-C Linkage,4
H5,SRS #9,Controller,Separation of Concerns,4
H5,SRS #9,Controller,Functional Completeness,5
H1,SRS #10,Model,Entity Extraction,3
H1,SRS #10,Model,Attribute Accuracy,2
H1,SRS #10,Model,Relationship Logic,2
H1,SRS #10,Model,Naming Consistency,2
H1,SRS #10,View,Screen Coverage,4
H1,SRS #10,View,User Journey Alignment,4
H1,SRS #10,View,Abstraction Level,4
H1,SRS #10,View,Hallucination Control,5
H1,SRS #10,Controller,Action Definition,4
H1,SRS #10,Controller,M-V-C Linkage,4
H1,SRS #10,Controller,Separation of Concerns,3
H1,SRS #10,Controller,Functional Completeness,4
H2,SRS #10,Model,Entity Extraction,2
H2,SRS #10,Model,Attribute Accuracy,3
H2,SRS #10,Model,Relationship Logic,3
H2,SRS #10,Model,Naming Consistency,2
H2,SRS #10,View,Screen Coverage,4
H2,SRS #10,View,User Journey Alignment,4
H2,SRS #10,View,Abstraction Level,4
H2,SRS #10,View,Hallucination Control,4
H2,SRS #10,Controller,Action Definition,3
H2,SRS #10,Controller,M-V-C Linkage,4
H2,SRS #10,Controller,Separation of Concerns,4
H2,SRS #10,Controller,Functional Completeness,3
H3,SRS #10,Model,Entity Extraction,3
H3,SRS #10,Model,Attribute Accuracy,2
H3,SRS #10,Model,Relationship Logic,2
H3,SRS #10,Model,Naming Consistency,2
H3,SRS #10,View,Screen Coverage,4
H3,SRS #10,View,User Journey Alignment,4
H3,SRS #10,View,Abstraction Level,4
H3,SRS #10,View,Hallucination Control,5
H3,SRS #10,Controller,Action Definition,4
H3,SRS #10,Controller,M-V-C Linkage,4
H3,SRS #10,Controller,Separation of Concerns,3
H3,SRS #10,Controller,Functional Completeness,4
H4,SRS #10,Model,Entity Extraction,2
H4,SRS #10,Model,Attribute Accuracy,3
H4,SRS #10,Model,Relationship Logic,3
H4,SRS #10,Model,Naming Consistency,2
H4,SRS #10,View,Screen Coverage,4
H4,SRS #10,View,User Journey Alignment,4
H4,SRS #10,View,Abstraction Level,4
H4,SRS #10,View,Hallucination Control,4
H4,SRS #10,Controller,Action Definition,3
H4,SRS #10,Controller,M-V-C Linkage,4
H4,SRS #10,Controller,Separation of Concerns,4
H4,SRS #10,Controller,Functional Completeness,3
H5,SRS #10,Model,Entity Extraction,3
H5,SRS #10,Model,Attribute Accuracy,2
H5,SRS #10,Model,Relationship Logic,2
H5,SRS #10,Model,Naming Consistency,2
H5,SRS #10,View,Screen Coverage,4
H5,SRS #10,View,User Journey Alignment,4
H5,SRS #10,View,Abstraction Level,4
H5,SRS #10,View,Hallucination Control,4
H5,SRS #10,Controller,Action Definition,4
H5,SRS #10,Controller,M-V-C Linkage,3
H5,SRS #10,Controller,Separation of Concerns,3
H5,SRS #10,Controller,Functional Completeness,4
H1,SRS #11,Model,Entity Extraction,4
H1,SRS #11,Model,Attribute Accuracy,3
H1,SRS #11,Model,Relationship Logic,3
H1,SRS #11,Model,Naming Consistency,3
H1,SRS #11,View,Screen Coverage,5
H1,SRS #11,View,User Journey Alignment,5
H1,SRS #11,View,Abstraction Level,4
H1,SRS #11,View,Hallucination Control,5
H1,SRS #11,Controller,Action Definition,5
H1,SRS #11,Controller,M-V-C Linkage,5
H1,SRS #11,Controller,Separation of Concerns,4
H1,SRS #11,Controller,Functional Completeness,5
H2,SRS #11,Model,Entity Extraction,3
H2,SRS #11,Model,Attribute Accuracy,4
H2,SRS #11,Model,Relationship Logic,3
H2,SRS #11,Model,Naming Consistency,3
H2,SRS #11,View,Screen Coverage,5
H2,SRS #11,View,User Journey Alignment,5
H2,SRS #11,View,Abstraction Level,5
H2,SRS #11,View,Hallucination Control,4
H2,SRS #11,Controller,Action Definition,5
H2,SRS #11,Controller,M-V-C Linkage,5
H2,SRS #11,Controller,Separation of Concerns,5
H2,SRS #11,Controller,Functional Completeness,5
H3,SRS #11,Model,Entity Extraction,4
